"idModulo","idLeccion","orden"
"M0001","L000001",1
"M0001","L000002",2
"M0001","L000003",3
"M0001","L000004",4
"M0002","L000005",1
"M0002","L000006",2
"M0002","L000007",3
"M0002","L000008",4
"M0003","L000009",1
"M0003","L000010",2
"M0003","L000011",3
"M0004","L000012",1
"M0004","L000013",2
"M0004","L000014",3
"M0005","L000015",1
"M0005","L000016",2
"M0005","L000017",3
"M0005","L000018",4
"M0006","L000019",1
"M0006","L000020",2
"M0006","L000021",3
"M0006","L000022",4
"M0007","L000023",1
"M0007","L000024",2
"M0007","L000025",3
"M0007","L000026",4
"M0008","L000027",1
"M0008","L000028",2
"M0008","L000029",3
"M0009","L000030",1
"M0009","L000031",2
"M0009","L000032",3
"M0009","L000033",4
"M0010","L000034",1
"M0010","L000035",2
"M0010","L000036",3
"M0010","L000037",4
"M0011","L000038",1
"M0011","L000039",2
"M0011","L000040",3
"M0012","L000041",1
"M0012","L000042",2
"M0012","L000043",3
"M0013","L000044",1
"M0013","L000045",2
"M0013","L000046",3
"M0013","L000047",4
"M0014","L000048",1
"M0014","L000049",2
"M0014","L000050",3
"M0014","L000051",4
"M0015","L000052",1
"M0015","L000053",2
"M0015","L000054",3
"M0015","L000055",4
"M0016","L000056",1
"M0016","L000057",2
"M0016","L000058",3
"M0017","L000059",1
"M0017","L000060",2
"M0017","L000061",3
"M0017","L000062",4
"M0018","L000063",1
"M0018","L000064",2
"M0018","L000065",3
"M0019","L000066",1
"M0019","L000067",2
"M0019","L000068",3
"M0019","L000069",4
"M0020","L000070",1
"M0020","L000071",2
"M0020","L000072",3
"M0020","L000073",4
"M0021","L000074",1
"M0021","L000075",2
"M0021","L000076",3
"M0021","L000077",4
"M0022","L000078",1
"M0022","L000079",2
"M0022","L000080",3
"M0023","L000081",1
"M0023","L000082",2
"M0023","L000083",3
"M0023","L000084",4
"M0024","L000085",1
"M0024","L000086",2
"M0024","L000087",3
"M0024","L000088",4
"M0025","L000089",1
"M0025","L000090",2
"M0025","L000091",3
"M0025","L000092",4
"M0026","L000093",1
"M0026","L000094",2
"M0026","L000095",3
"M0027","L000096",1
"M0027","L000097",2
"M0027","L000098",3
"M0028","L000099",1
"M0028","L000100",2
"M0028","L000101",3
"M0029","L000102",1
"M0029","L000103",2
"M0029","L000104",3
"M0030","L000105",1
"M0030","L000106",2
"M0030","L000107",3
"M0031","L000108",1
"M0031","L000109",2
"M0031","L000110",3
"M0032","L000111",1
"M0032","L000112",2
"M0032","L000113",3
"M0033","L000114",1
"M0033","L000115",2
"M0033","L000116",3
"M0033","L000117",4
"M0034","L000118",1
"M0034","L000119",2
"M0034","L000120",3
"M0035","L000121",1
"M0035","L000122",2
"M0035","L000123",3
"M0035","L000124",4
"M0036","L000125",1
"M0036","L000126",2
"M0036","L000127",3
"M0036","L000128",4
"M0037","L000129",1
"M0037","L000130",2
"M0037","L000131",3
"M0038","L000132",1
"M0038","L000133",2
"M0038","L000134",3
"M0038","L000135",4
"M0039","L000136",1
"M0039","L000137",2
"M0039","L000138",3
"M0040","L000139",1
"M0040","L000140",2
"M0040","L000141",3
"M0040","L000142",4
"M0041","L000143",1
"M0041","L000144",2
"M0041","L000145",3
"M0042","L000146",1
"M0042","L000147",2
"M0042","L000148",3
"M0043","L000149",1
"M0043","L000150",2
"M0043","L000151",3
"M0043","L000152",4
"M0044","L000153",1
"M0044","L000154",2
"M0044","L000155",3
"M0045","L000156",1
"M0045","L000157",2
"M0045","L000158",3
"M0045","L000159",4
"M0046","L000160",1
"M0046","L000161",2
"M0046","L000162",3
"M0047","L000163",1
"M0047","L000164",2
"M0047","L000165",3
"M0048","L000166",1
"M0048","L000167",2
"M0048","L000168",3
"M0048","L000169",4
"M0049","L000170",1
"M0049","L000171",2
"M0049","L000172",3
"M0050","L000173",1
"M0050","L000174",2
"M0050","L000175",3
"M0051","L000176",1
"M0051","L000177",2
"M0051","L000178",3
"M0051","L000179",4
"M0052","L000180",1
"M0052","L000181",2
"M0052","L000182",3
"M0052","L000183",4
"M0053","L000184",1
"M0053","L000185",2
"M0053","L000186",3
"M0054","L000187",1
"M0054","L000188",2
"M0054","L000189",3
"M0054","L000190",4
"M0055","L000191",1
"M0055","L000192",2
"M0055","L000193",3
"M0055","L000194",4
"M0056","L000195",1
"M0056","L000196",2
"M0056","L000197",3
"M0057","L000198",1
"M0057","L000199",2
"M0057","L000200",3
"M0058","L000201",1
"M0058","L000202",2
"M0058","L000203",3
"M0059","L000204",1
"M0059","L000205",2
"M0059","L000206",3
"M0059","L000207",4
"M0060","L000208",1
"M0060","L000209",2
"M0060","L000210",3
"M0061","L000211",1
"M0061","L000212",2
"M0061","L000213",3
"M0061","L000214",4
"M0062","L000215",1
"M0062","L000216",2
"M0062","L000217",3
"M0062","L000218",4
"M0063","L000219",1
"M0063","L000220",2
"M0063","L000221",3
"M0064","L000222",1
"M0064","L000223",2
"M0064","L000224",3
"M0065","L000225",1
"M0065","L000226",2
"M0065","L000227",3
"M0065","L000228",4
"M0066","L000229",1
"M0066","L000230",2
"M0066","L000231",3
"M0067","L000232",1
"M0067","L000233",2
"M0067","L000234",3
"M0067","L000235",4
"M0068","L000236",1
"M0068","L000237",2
"M0068","L000238",3
"M0068","L000239",4
"M0069","L000240",1
"M0069","L000241",2
"M0069","L000242",3
"M0070","L000243",1
"M0070","L000244",2
"M0070","L000245",3
"M0070","L000246",4
"M0071","L000247",1
"M0071","L000248",2
"M0071","L000249",3
